Fine name,pdfsize,metadatasize,/Page,xrefLength,titlecharacters,/Encrypt,images,text,PDFHeader,obj,endobj,stream,endstream,xref,trailer,startxref,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,Class
6914,8.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
9966,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3377,4.0,468.0,2.0,13.0,16.0,0.0,1,Yes,	%PDF-1.3,38,37,3.0,141,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
4108,17.0,250.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8965,7.0,252.0,3.0,16.0,45.0,0.0,1,Yes,	%PDF-1.3,77,76,4.0,165,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
7336,14.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3854,2048.0,291.0,1.0,27.0,3.0,0.0,1,No,	%PDF-1.5,235,235,6.0,193,11,3.0,10,0.0,12,16,1,1,4,1,1,1,1,1,0.0,Malicious
8302,6.0,250.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
9772,2.0,256.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
6947,14.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
5132,4.0,211.0,1.0,28.0,0.0,0.0,1,No,	%PDF-1.4,65,64,6.0,193,2,1.0,2,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
1119,5.0,246.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
7182,41.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-\x07.3,4,461,3.0,141,2,1.0,2,0.0,3,2,1,2,1,1,1,1,1,1,0.0,Malicious
3484,10.0,180.0,15.0,45.0,0.0,0.0,1,No,	%PDF-1.4,130,129,1.0,2,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
7819,12.0,288.0,1.0,16.0,2.0,0.0,0,unclear,	%PDF-1.4,4,3,2.0,98,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
9487,17.0,373.0,8.0,27.0,10.0,0.0,1,Yes,	%PDF-1.3,206,206,9.0,229,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
8522,1.0,180.0,1.0,111714.0,0.0,0.0,1,No,	%PDF-1.0,20,19,3.0,141,1,1.0,1,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
8057,7.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
8688,14.0,180.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.4,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
1317,8.0,235.0,3.0,16.0,29.0,0.0,1,Yes,	%PDF-1.3,77,76,4.0,165,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
858,15.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
6226,10.0,180.0,22.0,36.0,0.0,0.0,1,No,	%PDF-1.4,206,206,1.0,2,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
5727,13.0,475.0,7.0,25.0,16.0,0.0,1,Yes,	%PDF-1.3,186,186,8.0,217,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
4508,7.0,246.0,1.0,19.0,0.0,0.0,1,No,	%PDF-1.4,104,103,3.0,141,2,1.0,2,0.0,12,16,1,1,2,1,1,1,1,1,0.0,Malicious
8496,138.0,257.0,1.0,104.0,8.0,0.0,1,No,	%PDF-1.6,243,243,62.0,196,14,46.0,9,1.0,8,7,24,1,1,1,1,1,1,1,0.0,Malicious
2542,6.0,211.0,1.0,18.0,0.0,0.0,1,No,	%PDF-1.4,38,37,5.0,182,2,1.0,2,0.0,12,16,1,1,1,1,1,1,1,1,0.0,Malicious
1314,4.0,180.0,1.0,14.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8386,51.0,308.0,5.0,21.0,2.0,0.0,1,No,	%PDF-1.3,142,142,1.0,2,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
7974,6.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
1071,89.0,331.0,5.0,204.0,43.0,0.0,13,Yes,	%PDF-1.4,5,4,38.0,158,7,16.0,18,2.0,10,9,37,1,1,1,1,1,1,1,0.0,Malicious
3159,11.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3613,30.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
5254,12.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
521,37.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
5322,10.0,360.0,5.0,21.0,9.0,0.0,1,Yes,	%PDF-1.3,142,142,6.0,193,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
6552,9.0,258.0,1.0,26.0,0.0,0.0,1,No,	%PDF-1.4,195,195,3.0,141,2,1.0,2,0.0,1,1,2,2,1,1,1,2,1,1,0.0,Malicious
7829,10.0,258.0,1.0,31.0,0.0,0.0,1,No,	%PDF-1.4,245,245,4.0,165,2,1.0,2,0.0,2,11,2,2,1,1,1,2,1,1,0.0,Malicious
4018,7.0,201.0,1.0,996.0,0.0,0.0,1,No,	%PDF-1.4,153,153,11.0,15,2,1.0,2,0.0,24,28,1,1,1,1,1,1,1,1,0.0,Malicious
8941,4.0,300.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
957,8.0,180.0,0.0,1991.0,0.0,0.0,1,No,	%PDF-1.4,165,165,6.0,193,2,1.0,1,0.0,12,12,2,5,1,1,1,1,1,1,0.0,Malicious
6506,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
4122,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
